day1,day2
158,118
38,56
10,76
104,12
12,8
6,98
20,37
18,15
43,53
22,7
13,27
15,55
23,44
282,34
82,106
74,13
75,113
14,23
15,29
7,22
4,97
20,15
15,88
14,24
26,37
26,59
103,9
195,40
49,87
19,3
12,53
14,25
22,12
107,62
21,73
23,19
10,67
155,102
43,47
5,40
18,156
7,11
7,138
11,9
4,29
37,44
9,166
20,25
23,79
35,23
8,12
10,44
34,12
7,16
64,8
16,184
33,47
26,105
8,61
9,6
17,36
117,40
48,14
63,33
56,18
92,20
138,20
21,13
15,73
65,28
18,45
22,66
17,194
10,13
79,108
21,9
64,28
6,49
45,15
10,81
78,6
82,96
19,176
50,72
32,60
21,12
434,10
10,71
18,14
9,75
7,135
7,49
12,33
7,19
37,36
8,92
28,11
12,32
8,183
51,79
8,18
15,30
106,37
46,135
66,56
22,15
13,22
1,33
3,15
11,3
16,9
45,133
39,52
6,144
10,51
19,7
49,52
45,23
44,156
29,31
51,8
18,6
8,39
5,21
43,208
43,37
42,46
119,94
9,29
34,134
5,60
7,5
19,75
74,35
132,68
8,27
6,64
16,13
83,2
97,133
14,23
34,33
16,101
16,16
12,92
27,12
8,43
38,61
11,15
296,54
10,41
79,43
135,30
22,108
64,12
69,9
33,45
6,29
9,35
97,37
28,129
173,44
54,189
17,8
15,72
8,216
26,32
213,47
20,31
10,23
47,49
23,94
6,27
45,34
43,7
31,72
9,35
22,116
14,30
35,22
322,25
94,26
37,14
35,8
39,10
8,10
140,181
19,62
25,37
60,4
8,7
12,87
14,32
65,281
6,38
36,5
69,60
5,14
24,138
58,20
92,51
23,27
17,20
28,166
9,65
39,23
97,7
28,34
182,10
64,54
13,9
9,15
22,116
22,66
25,25
122,35
3,175
82,126
18,14
18,69
32,56
86,63
27,31
34,90
13,72
39,45
6,32
11,44
8,88
41,15
54,59
53,118
4,53
17,9
10,146
58,257
40,276
27,49
11,8
30,8
120,14
29,127
12,8
118,12
40,18
37,33
8,50
20,72
77,86
27,52
17,19
17,27
21,28
28,13
13,37
63,101
150,167
11,23
7,35
8,22
32,54
44,14
30,63
18,7
4,65
7,21
29,321
20,37
109,29
106,13
32,74
124,9
45,58
17,7
13,117
10,8
136,31
54,19
11,25
34,225
46,36
28,23
34,183
28,80
84,27
19,94
32,41
152,27
281,18
96,8
20,41
145,12
17,8
67,56
20,11
17,141
32,14
91,42
43,27
43,130
9,149
68,12
78,15
84,44
13,28
10,41
9,44
10,28
22,28
11,105
94,11
2,95
36,66
99,43
11,12
6,13
11,52
64,74
23,0
7,63
10,24
46,133
91,19
27,99
53,76
38,30
28,101
24,67
6,35
20,50
12,18
16,113
27,53
160,18
63,138
2,69
13,21
65,76
25,339
15,35
23,71
19,84
8,268
98,133
37,32
33,16
36,242
18,97
183,13
101,8
24,129
60,181
29,58
33,23
66,13
24,7
79,137
38,46
29,134
41,34
17,22
137,41
15,36
10,236
29,8
27,11
23,6
54,54
1,8
18,117
12,46
263,92
8,5
204,70
4,26
73,12
9,31
63,65
59,6
5,73
135,9
12,19
83,49
66,15
203,12
20,118
80,34
13,44
18,45
36,53
8,23
20,10
68,65
87,42
11,168
43,112
12,116
226,17
17,19
55,15
70,149
93,8
20,191
14,99
27,29
229,295
14,33
15,7
47,43
16,92
137,13
56,16
29,15
16,1
27,78
17,5
171,41
236,18
34,5
30,0
3,36
3,63
33,8
43,17
35,63
116,62
12,5
50,53
168,8
30,187
15,32
18,20
8,49
8,16
4,39
174,15
18,10
6,12
31,14
16,5
27,17
24,23
14,49
67,51
31,19
30,134
34,28
176,30
18,93
10,92
40,40
84,104
6,179
69,32
10,64
49,6
50,8
45,20
102,6
46,60
12,6
26,52
33,21
10,43
35,4
12,47
15,7
160,20
10,19
98,6
8,9
18,194
23,12
82,28
26,27
13,46
153,3
134,20
15,147
40,5
33,17
123,20
24,12
9,23
16,25
18,23
48,53
9,15
